"x","y","X202312"
-69.7317988743823,12.0711491023804,1.00519537227228e-05
-69.2826412323235,12.0711491023804,-9999
-68.8334835902647,12.0711491023804,1.43776305776555e-05
-68.3843259482059,12.0711491023804,1.47586288221646e-05
-67.935168306147,12.0711491023804,-9999
-67.4860106640882,12.0711491023804,-9999
-67.0368530220294,12.0711491023804,-9999
-81.4098975679118,11.6219914603152,-9999
-80.9607399258529,11.6219914603152,-9999
-80.5115822837941,11.6219914603152,-9999
-80.0624246417353,11.6219914603152,-9999
-79.6132669996765,11.6219914603152,-9999
-79.1641093576176,11.6219914603152,-9999
-78.7149517155588,11.6219914603152,-9999
-78.2657940735,11.6219914603152,-9999
-77.8166364314412,11.6219914603152,-9999
-77.3674787893824,11.6219914603152,-9999
-76.9183211473235,11.6219914603152,-9999
-76.4691635052647,11.6219914603152,-9999
-76.0200058632059,11.6219914603152,-9999
-75.5708482211471,11.6219914603152,-9999
-75.1216905790882,11.6219914603152,-9999
-74.6725329370294,11.6219914603152,-9999
-74.2233752949706,11.6219914603152,-9999
-73.7742176529118,11.6219914603152,-9999
-73.3250600108529,11.6219914603152,-9999
-72.8759023687941,11.6219914603152,-9999
-72.4267447267353,11.6219914603152,7.88150487096573e-07
-71.9775870846765,11.6219914603152,1.67828898156586e-06
-71.5284294426177,11.6219914603152,2.17518345380086e-06
-71.0792718005588,11.6219914603152,-9999
-70.6301141585,11.6219914603152,-9999
-70.1809565164412,11.6219914603152,1.2623555448954e-05
-69.7317988743823,11.6219914603152,1.94772637769347e-05
-69.2826412323235,11.6219914603152,-9999
-68.8334835902647,11.6219914603152,-9999
-68.3843259482059,11.6219914603152,-9999
-67.935168306147,11.6219914603152,-9999
-67.4860106640882,11.6219914603152,-9999
-67.0368530220294,11.6219914603152,-9999
-81.4098975679118,11.17283381825,-9999
-80.9607399258529,11.17283381825,-9999
-80.5115822837941,11.17283381825,-9999
-80.0624246417353,11.17283381825,-9999
-79.6132669996765,11.17283381825,-9999
