x,y,Evap_mm_Mes,Prec_mm_Mes,HumedadSuelo_FracVol_Mes,Taire_Kelvin_Mes,Fecha,Pais,Dpto,Mpio
-75.1216905786111,6.68125739786364,116.195158450864,60.9140951419249,0.38227242231369,293.413787841797,2023-02-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,88.2721524685622,304.649580968544,0.412563443183899,293.099884033203,2023-03-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,114.868483389728,697.746215388179,0.434559643268585,293.6201171875,2023-04-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,112.673404393718,509.350058622657,0.427720725536346,294.602935791016,2023-05-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,130.620793090202,261.056218296291,0.425911068916321,294.335052490234,2023-06-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,127.942407270893,226.295524975285,0.421936929225922,294.540313720703,2023-07-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,126.254312926903,236.473521217704,0.41797012090683,294.753143310547,2023-08-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,131.963036488742,266.009495593607,0.424327313899994,295.296020507812,2023-09-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,105.735828867182,323.56063183397,0.427195399999619,294.116241455078,2023-10-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,103.333759820089,316.850046627224,0.426931798458099,293.928314208984,2023-11-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,114.610912743956,140.951841836795,0.41096094250679,294.908020019531,2023-12-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,148.75734038651,20.1262109912932,0.372917830944061,296.437561035156,2024-01-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,117.244856664911,106.046818429604,0.3565713763237,295.762664794922,2024-02-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,107.365478295833,93.0052476469428,0.33562183380127,296.560302734375,2024-03-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,105.183638515882,254.09450288862,0.386687457561493,295.368896484375,2024-04-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,107.512203510851,424.787376075983,0.428107351064682,294.563812255859,2024-05-01,Colombia,Antioquia,Yolombó
-75.1216905786111,6.68125739786364,106.212987564504,433.740933425724,0.430074840784073,293.897644042969,2024-06-01,Colombia,Antioquia,Yolombó
-74.2233752943889,7.13041503995454,123.931754613295,252.073938259855,0.426248669624329,299.812713623047,2019-06-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,140.015997109003,172.899446915835,0.422445476055145,299.851135253906,2019-07-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,143.917020759545,175.095949787646,0.420259475708008,300.198608398438,2019-08-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,123.623971128836,289.318059571088,0.424639523029327,299.862854003906,2019-09-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,106.786177726463,402.969072572887,0.431095898151398,298.822265625,2019-10-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,103.734453557991,260.833490174264,0.42656347155571,299.157867431641,2019-11-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,115.972590632737,224.62204657495,0.423174023628235,299.711059570312,2019-12-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,135.573004838079,71.8615265213884,0.402669250965118,299.908782958984,2020-01-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,132.860983489081,48.143574676942,0.3697609603405,300.683898925781,2020-02-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,104.294791119173,23.4627975441981,0.318229556083679,300.611022949219,2020-03-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,124.953635386191,286.295897327363,0.394091129302979,300.626159667969,2020-04-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,132.927236147225,384.878570213913,0.419823884963989,301.330413818359,2020-05-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,151.415131869726,330.314367078246,0.428865045309067,300.717529296875,2020-06-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,156.952566001564,369.699337519706,0.428297519683838,300.816772460938,2020-07-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,150.085675064474,290.904200635851,0.425692677497864,301.211242675781,2020-08-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,145.483472733758,335.803926922381,0.428826451301575,300.502777099609,2020-09-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,144.702519290149,474.694166332482,0.430885702371597,301.18701171875,2020-10-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,127.82829918433,362.228421494364,0.428026497364044,300.8076171875,2020-11-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,140.516465879046,159.587075700983,0.412589848041534,301.822814941406,2020-12-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,145.261366968043,77.9557668138296,0.380536019802094,301.636810302734,2021-01-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,128.574353526346,66.6681705624797,0.349752694368362,302.342803955078,2021-02-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,117.500362219289,170.047961175442,0.353643864393234,301.814575195312,2021-03-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,129.857708816417,254.224009579047,0.405313462018967,301.992553710938,2021-04-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,158.832949586213,234.907559584826,0.410211056470871,303.010131835938,2021-05-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,156.836505979299,308.634358691053,0.426173597574234,302.632873535156,2021-06-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,189.519641920924,281.941402237863,0.423548102378845,304.065612792969,2021-07-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,168.705463176593,321.513494476677,0.42668604850769,302.775695800781,2021-08-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,175.995763856918,373.015063349158,0.426866263151169,302.803039550781,2021-09-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,141.022828174755,494.731436949224,0.43006831407547,301.072509765625,2021-10-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,152.701985556632,312.300735153257,0.422030448913574,301.434814453125,2021-11-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,134.882792830467,203.810772160068,0.408877730369568,300.526794433594,2021-12-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,147.713111364283,56.8283919710666,0.384200185537338,301.452911376953,2022-01-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,137.695749057457,64.5354544976726,0.344480216503143,301.845703125,2022-02-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,121.331549948081,275.431479793041,0.393550515174866,300.157836914062,2022-03-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,105.047927121632,304.935581982136,0.419985860586166,299.276550292969,2022-04-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,119.009708287194,346.708552446216,0.428857326507568,299.516296386719,2022-05-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,122.691945405677,387.478586286306,0.430502891540527,298.922241210938,2022-06-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,178.862506756559,304.169932845979,0.424123108386993,298.885864257812,2022-07-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,134.471217286773,470.95444612205,0.430341303348541,299.307922363281,2022-08-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,123.484384152107,383.946318179369,0.429600864648819,298.989715576172,2022-09-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,109.664707677439,449.466330930592,0.430686354637146,298.73046875,2022-10-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,105.206241365522,291.019147960468,0.426840245723724,298.558563232422,2022-11-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,126.366667100228,71.3386152056047,0.409582316875458,298.647979736328,2022-12-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,123.004273977131,138.214266160503,0.400416314601898,298.768188476562,2023-01-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,127.610295312479,27.9964015935546,0.35943341255188,300.20068359375,2023-02-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,105.671160388738,213.159016566351,0.389108866453171,299.461303710938,2023-03-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,117.748078890145,288.597333244979,0.417858988046646,299.728912353516,2023-04-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,118.255346431397,370.518320705741,0.426356911659241,300.365356445312,2023-05-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,131.523445481434,195.409452309832,0.424272239208221,300.080383300781,2023-06-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,142.77489320375,229.647536063567,0.422198951244354,300.593933105469,2023-07-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,135.248021688312,296.062138862909,0.424724072217941,300.674377441406,2023-08-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,127.381522790529,239.947118097916,0.424873054027557,300.7626953125,2023-09-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,113.624751451425,343.9555875957,0.428229629993439,299.759826660156,2023-10-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,116.891858051531,262.038466287777,0.424789369106293,300.12451171875,2023-11-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,132.009939523414,139.167697168887,0.40832057595253,301.443969726562,2023-12-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,162.721959874034,15.7838978193467,0.369650900363922,303.61376953125,2024-01-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,137.656153994612,83.0783250276,0.33944633603096,303.22216796875,2024-02-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,122.487077023834,110.95327755902,0.330299466848373,304.114318847656,2024-03-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,122.436345554888,204.791398253292,0.366832613945007,302.074859619141,2024-04-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,121.132065891288,508.951260242612,0.42530557513237,300.460510253906,2024-05-01,Colombia,Bolívar,Cantagallo
-74.2233752943889,7.13041503995454,115.710503188893,465.255548246204,0.431286156177521,299.689727783203,2024-06-01,Colombia,Bolívar,Cantagallo
-72.8759023680556,5.33378447159091,86.9047036394477,150.553253246471,0.412685453891754,284.314544677734,2019-06-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,87.2112424112856,151.387927355245,0.405108571052551,283.785797119141,2019-07-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,87.5395353650674,124.637186061591,0.400740832090378,283.895141601562,2019-08-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,98.5794668085874,148.287989431992,0.403978884220123,284.7431640625,2019-09-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,94.9422467965632,124.829579028301,0.403477847576141,284.524017333984,2019-10-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,79.8059095395729,145.835236064158,0.406030595302582,285.11865234375,2019-11-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,84.5752051100134,55.9135942021384,0.387860149145126,285.19970703125,2019-12-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,81.8031169474124,29.6036367653869,0.356904953718185,285.328216552734,2020-01-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,68.7125733238645,26.2369225092698,0.321910232305527,285.809417724609,2020-02-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,53.6315173376351,50.8933240198529,0.316652446985245,285.901794433594,2020-03-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,78.5805371124299,145.140922162682,0.374525934457779,285.651428222656,2020-04-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,87.5521145062522,178.931173402816,0.389044553041458,285.331756591797,2020-05-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,96.8088065274059,224.774599308148,0.412421345710754,284.338073730469,2020-06-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,95.0897075235843,200.765752466395,0.411908984184265,284.023376464844,2020-07-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,90.3500304557383,161.577974678948,0.40598863363266,284.570098876953,2020-08-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,101.902453461662,154.710169066675,0.409026265144348,284.77685546875,2020-09-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,99.8299220809713,108.009654795751,0.39606711268425,284.877624511719,2020-10-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,86.5719033172354,294.594132341445,0.419636309146881,285.350067138672,2020-11-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,98.2845453545452,44.9171381187626,0.391581475734711,285.457824707031,2020-12-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,89.8747105384245,54.0336490957998,0.371169626712799,284.736358642578,2021-01-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,64.2870777519419,48.7734699854628,0.34622323513031,285.299041748047,2021-02-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,57.9719009692781,72.0842404989525,0.350557327270508,284.638519287109,2021-03-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,80.6522386847064,172.631550813094,0.390886008739471,285.072326660156,2021-04-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,87.8211704548448,184.39157679677,0.40927255153656,284.933471679688,2021-05-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,105.581503361464,215.846068225801,0.412718683481216,284.759674072266,2021-06-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,108.822169248015,169.408706948161,0.407711535692215,284.476745605469,2021-07-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,115.822131279856,224.601546535268,0.411144614219666,285.168762207031,2021-08-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,125.236628344282,127.883415436372,0.405166804790497,285.315490722656,2021-09-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,107.326986500993,151.617954019457,0.400787353515625,285.799072265625,2021-10-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,96.4950446505099,102.348117157817,0.387421607971191,285.684692382812,2021-11-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,95.7761759636923,35.30436870642,0.375877797603607,285.896942138672,2021-12-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,83.6238769115881,29.3198139988816,0.332753539085388,285.610015869141,2022-01-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,66.8558675679378,102.150669903495,0.337528705596924,285.380706787109,2022-02-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,58.3542493404822,96.3296393165366,0.356292307376862,285.103607177734,2022-03-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,82.2300156578421,221.137020969763,0.394736647605896,284.920684814453,2022-04-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,97.7324681589381,220.411768415943,0.416167199611664,284.507598876953,2022-05-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,92.9513855371625,255.699126049876,0.419181972742081,283.960784912109,2022-06-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,72.0339805120602,244.327884167433,0.418512433767319,284.4619140625,2022-07-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,99.2739221546798,214.137964183465,0.416769832372665,283.790588378906,2022-08-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,102.575380937196,168.540331302211,0.410839647054672,284.640350341797,2022-09-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,91.1209979094565,172.280032653362,0.415295720100403,284.761322021484,2022-10-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,78.8769295904787,200.175362639129,0.418674200773239,284.764495849609,2022-11-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,97.5531823933124,46.4768809033558,0.397033870220184,284.370819091797,2022-12-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,81.9584608543665,85.930725443177,0.379905581474304,283.971435546875,2023-01-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,75.9876922820696,35.2069487271366,0.345603406429291,284.678039550781,2023-02-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,66.0291426465847,111.158890882507,0.372663021087646,284.979095458984,2023-03-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,75.4155299509877,379.082509316504,0.395981848239899,285.039184570312,2023-04-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,100.138403358869,322.665457148104,0.423598349094391,285.330902099609,2023-05-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,101.049674442038,283.588251331821,0.41915026307106,284.243133544922,2023-06-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,99.8110439395532,238.187773386016,0.417368441820145,284.476440429688,2023-07-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,103.480400168337,198.386861477047,0.412932634353638,284.811309814453,2023-08-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,105.200093239546,126.507970271632,0.404515087604523,285.498931884766,2023-09-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,98.6499816644937,121.220119879581,0.396127551794052,285.665924072266,2023-10-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,88.4576806565746,95.9317178931088,0.397797018289566,285.472961425781,2023-11-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,80.8520150603728,73.9933561999351,0.37859782576561,285.8125,2023-12-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,94.3892832146958,13.3810944389552,0.340301036834717,285.954223632812,2024-01-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,66.3916934863663,68.731993669644,0.326628744602203,286.487884521484,2024-02-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,49.9972488032653,72.6868841447866,0.292893648147583,286.790771484375,2024-03-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,83.772290032357,186.567749362439,0.373153746128082,286.159057617188,2024-04-01,Colombia,Boyacá,Aquitania
-72.8759023680556,5.33378447159091,98.1553592719137,267.082343576476,0.408953607082367,285.789947509766,2024-05-01,Colombia,Boyacá,Aquitania
